"timestamp_utc","sample","node","cpu_percent","memory_usage","network_io","block_io"
"2026-09-17T15:04:11.3499648+00:00","39","r-scylla1","3.56%","589.3MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:11.3499648+00:00","39","r-scylla2","3.24%","515.7MiB / 9.711GiB","182MB / 146MB","54.4MB / 895MB"
"2026-09-17T15:04:11.3499648+00:00","39","r-scylla3","3.45%","517.4MiB / 9.711GiB","181MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:04:14.5103918+00:00","40","r-scylla1","3.64%","588.8MiB / 9.711GiB","181MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:14.5103918+00:00","40","r-scylla2","3.72%","515.4MiB / 9.711GiB","182MB / 146MB","54.4MB / 895MB"
"2026-09-17T15:04:14.5103918+00:00","40","r-scylla3","4.73%","517.4MiB / 9.711GiB","181MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:04:17.6881686+00:00","41","r-scylla1","2.65%","588.8MiB / 9.711GiB","181MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:17.6881686+00:00","41","r-scylla2","3.21%","515.4MiB / 9.711GiB","182MB / 146MB","54.4MB / 895MB"
"2026-09-17T15:04:17.6881686+00:00","41","r-scylla3","2.88%","517.1MiB / 9.711GiB","181MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:04:20.8670743+00:00","42","r-scylla1","4.40%","589.3MiB / 9.711GiB","181MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:20.8670743+00:00","42","r-scylla2","3.41%","515.7MiB / 9.711GiB","182MB / 146MB","54.4MB / 895MB"
"2026-09-17T15:04:20.8670743+00:00","42","r-scylla3","4.62%","517.1MiB / 9.711GiB","181MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:04:24.0503759+00:00","43","r-scylla1","3.62%","589.1MiB / 9.711GiB","181MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:24.0503759+00:00","43","r-scylla2","3.69%","515.4MiB / 9.711GiB","182MB / 146MB","54.4MB / 895MB"
"2026-09-17T15:04:24.0503759+00:00","43","r-scylla3","3.67%","517.4MiB / 9.711GiB","181MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:04:27.2173148+00:00","44","r-scylla1","3.41%","589.1MiB / 9.711GiB","181MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:27.2173148+00:00","44","r-scylla2","3.30%","515.4MiB / 9.711GiB","182MB / 146MB","54.4MB / 895MB"
"2026-09-17T15:04:27.2173148+00:00","44","r-scylla3","3.35%","517.6MiB / 9.711GiB","181MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:04:30.3929492+00:00","45","r-scylla1","3.17%","586.3MiB / 9.711GiB","181MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:30.3929492+00:00","45","r-scylla2","3.56%","515.3MiB / 9.711GiB","182MB / 146MB","54.5MB / 895MB"
"2026-09-17T15:04:30.3929492+00:00","45","r-scylla3","3.03%","517.1MiB / 9.711GiB","181MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:04:33.4477909+00:00","46","r-scylla1","5.00%","586.3MiB / 9.711GiB","181MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:33.4477909+00:00","46","r-scylla2","3.45%","515.3MiB / 9.711GiB","182MB / 146MB","54.5MB / 895MB"
"2026-09-17T15:04:33.4477909+00:00","46","r-scylla3","3.92%","517.3MiB / 9.711GiB","181MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:04:36.6451940+00:00","47","r-scylla1","3.33%","586MiB / 9.711GiB","181MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:36.6451940+00:00","47","r-scylla2","4.27%","515.6MiB / 9.711GiB","182MB / 147MB","54.5MB / 895MB"
"2026-09-17T15:04:36.6451940+00:00","47","r-scylla3","4.23%","517.1MiB / 9.711GiB","181MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:04:39.8413236+00:00","48","r-scylla1","3.72%","586MiB / 9.711GiB","181MB / 148MB","363MB / 896MB"
