"timestamp_utc","sample_end_utc","sample","node","node_count","cpu_percent","memory_usage","network_io","block_io","vm_mem_available_kib"
"2026-09-21T15:35:19.8493566+00:00","2026-09-21T15:35:22.2699562+00:00","12","r-scylla2","3","4.20%","168.5MiB / 9.711GiB","13.9MB / 36.2MB","54.9MB / 632MB","8935460"
"2026-09-21T15:35:19.8493566+00:00","2026-09-21T15:35:22.2699562+00:00","12","r-scylla3","3","4.49%","162.1MiB / 9.711GiB","14.3MB / 35.8MB","38.7MB / 632MB","8935460"
"2026-09-21T15:35:23.2740352+00:00","2026-09-21T15:35:25.8555544+00:00","13","r-scylla1","3","2.42%","197.4MiB / 9.711GiB","12.7MB / 41.2MB","96.6MB / 648MB","8934024"
"2026-09-21T15:35:23.2740352+00:00","2026-09-21T15:35:25.8555544+00:00","13","r-scylla2","3","2.64%","168.5MiB / 9.711GiB","13.9MB / 37.4MB","54.9MB / 632MB","8934024"
"2026-09-21T15:35:23.2740352+00:00","2026-09-21T15:35:25.8555544+00:00","13","r-scylla3","3","3.13%","162.3MiB / 9.711GiB","14.3MB / 37MB","38.7MB / 632MB","8934024"
"2026-09-21T15:35:26.8692272+00:00","2026-09-21T15:35:29.3679100+00:00","14","r-scylla1","3","3.12%","197.4MiB / 9.711GiB","12.8MB / 43.2MB","96.6MB / 648MB","8931124"
"2026-09-21T15:35:26.8692272+00:00","2026-09-21T15:35:29.3679100+00:00","14","r-scylla2","3","3.32%","169MiB / 9.711GiB","14MB / 38.6MB","54.9MB / 632MB","8931124"
"2026-09-21T15:35:26.8692272+00:00","2026-09-21T15:35:29.3679100+00:00","14","r-scylla3","3","3.41%","162.1MiB / 9.711GiB","14.3MB / 38.5MB","38.7MB / 632MB","8931124"
"2026-09-21T15:35:30.3770559+00:00","2026-09-21T15:35:32.7892335+00:00","15","r-scylla1","3","3.49%","197.3MiB / 9.711GiB","12.8MB / 44MB","96.6MB / 648MB","8933484"
"2026-09-21T15:35:30.3770559+00:00","2026-09-21T15:35:32.7892335+00:00","15","r-scylla2","3","2.79%","169.2MiB / 9.711GiB","14MB / 40.1MB","54.9MB / 632MB","8933484"
"2026-09-21T15:35:30.3770559+00:00","2026-09-21T15:35:32.7892335+00:00","15","r-scylla3","3","3.69%","161.8MiB / 9.711GiB","14.4MB / 39.3MB","38.7MB / 632MB","8933484"
"2026-09-21T15:35:33.8052926+00:00","2026-09-21T15:35:36.3217805+00:00","16","r-scylla1","3","3.83%","197.3MiB / 9.711GiB","12.8MB / 45.9MB","96.6MB / 648MB","8932172"
"2026-09-21T15:35:33.8052926+00:00","2026-09-21T15:35:36.3217805+00:00","16","r-scylla2","3","3.97%","168.7MiB / 9.711GiB","14.1MB / 41.6MB","54.9MB / 632MB","8932172"
"2026-09-21T15:35:33.8052926+00:00","2026-09-21T15:35:36.3217805+00:00","16","r-scylla3","3","2.92%","161.8MiB / 9.711GiB","14.4MB / 40.8MB","38.7MB / 632MB","8932172"
"2026-09-21T15:35:37.3286553+00:00","2026-09-21T15:35:39.8484967+00:00","17","r-scylla1","3","3.33%","197.4MiB / 9.711GiB","12.9MB / 46.7MB","96.6MB / 648MB","8928572"
"2026-09-21T15:35:37.3286553+00:00","2026-09-21T15:35:39.8484967+00:00","17","r-scylla2","3","4.60%","168.7MiB / 9.711GiB","14.1MB / 42.8MB","54.9MB / 632MB","8928572"
"2026-09-21T15:35:37.3286553+00:00","2026-09-21T15:35:39.8484967+00:00","17","r-scylla3","3","5.21%","162.1MiB / 9.711GiB","14.4MB / 42.4MB","38.7MB / 632MB","8928572"
"2026-09-21T15:35:40.8586179+00:00","2026-09-21T15:35:43.4945733+00:00","18","r-scylla1","3","4.83%","197.4MiB / 9.711GiB","12.9MB / 48.7MB","96.6MB / 648MB","8928164"
"2026-09-21T15:35:40.8586179+00:00","2026-09-21T15:35:43.4945733+00:00","18","r-scylla2","3","4.34%","169MiB / 9.711GiB","14.1MB / 44.3MB","54.9MB / 632MB","8928164"
"2026-09-21T15:35:40.8586179+00:00","2026-09-21T15:35:43.4945733+00:00","18","r-scylla3","3","4.54%","161.8MiB / 9.711GiB","14.5MB / 43.5MB","38.7MB / 632MB","8928164"
"2026-09-21T15:35:44.5053234+00:00","2026-09-21T15:35:46.8780846+00:00","19","r-scylla1","3","2.93%","197.4MiB / 9.711GiB","12.9MB / 49.9MB","96.6MB / 648MB","8927720"
"2026-09-21T15:35:44.5053234+00:00","2026-09-21T15:35:46.8780846+00:00","19","r-scylla2","3","3.08%","168.7MiB / 9.711GiB","14.2MB / 45.5MB","54.9MB / 632MB","8927720"
"2026-09-21T15:35:44.5053234+00:00","2026-09-21T15:35:46.8780846+00:00","19","r-scylla3","3","2.65%","162.3MiB / 9.711GiB","14.5MB / 44.7MB","38.7MB / 632MB","8927720"
"2026-09-21T15:35:47.8930026+00:00","2026-09-21T15:35:50.2905428+00:00","20","r-scylla1","3","3.40%","197.3MiB / 9.711GiB","13MB / 50.7MB","96.6MB / 648MB","8886660"
"2026-09-21T15:35:47.8930026+00:00","2026-09-21T15:35:50.2905428+00:00","20","r-scylla2","3","3.87%","168.5MiB / 9.711GiB","14.2MB / 46.3MB","54.9MB / 632MB","8886660"
"2026-09-21T15:35:47.8930026+00:00","2026-09-21T15:35:50.2905428+00:00","20","r-scylla3","3","3.77%","161.8MiB / 9.711GiB","14.6MB / 45.8MB","38.7MB / 632MB","8886660"
"2026-09-21T15:35:51.3064324+00:00","2026-09-21T15:35:53.7803392+00:00","21","r-scylla1","4","3.94%","198MiB / 9.711GiB","13MB / 51.5MB","96.6MB / 648MB","8824660"
"2026-09-21T15:35:51.3064324+00:00","2026-09-21T15:35:53.7803392+00:00","21","r-scylla2","4","3.43%","169MiB / 9.711GiB","14.2MB / 47.1MB","54.9MB / 632MB","8824660"
"2026-09-21T15:35:51.3064324+00:00","2026-09-21T15:35:53.7803392+00:00","21","r-scylla3","4","4.32%","162.3MiB / 9.711GiB","14.6MB / 46.6MB","38.7MB / 632MB","8824660"
"2026-09-21T15:35:51.3064324+00:00","2026-09-21T15:35:53.7803392+00:00","21","r-scylla4","4","55.05%","78.54MiB / 9.711GiB","2.5kB / 85.8kB","49.2kB / 67.2MB","8824660"
"2026-09-21T15:35:54.7860966+00:00","2026-09-21T15:35:57.3363387+00:00","22","r-scylla1","4","5.72%","198.3MiB / 9.711GiB","13MB / 52.7MB","96.6MB / 655MB","8797152"
"2026-09-21T15:35:54.7860966+00:00","2026-09-21T15:35:57.3363387+00:00","22","r-scylla2","4","21.48%","168.9MiB / 9.711GiB","14.3MB / 48.6MB","55.1MB / 713MB","8797152"
"2026-09-21T15:35:54.7860966+00:00","2026-09-21T15:35:57.3363387+00:00","22","r-scylla3","4","21.66%","161.9MiB / 9.711GiB","14.6MB / 48.1MB","38.8MB / 713MB","8797152"
"2026-09-21T15:35:54.7860966+00:00","2026-09-21T15:35:57.3363387+00:00","22","r-scylla4","4","58.34%","113.5MiB / 9.711GiB","9.13kB / 848kB","270kB / 327MB","8797152"
"2026-09-21T15:35:58.3537624+00:00","2026-09-21T15:36:00.9780719+00:00","23","r-scylla1","4","8.55%","198.7MiB / 9.711GiB","13.1MB / 56.3MB","96.7MB / 783MB","8788512"
"2026-09-21T15:35:58.3537624+00:00","2026-09-21T15:36:00.9780719+00:00","23","r-scylla2","4","7.02%","170.2MiB / 9.711GiB","14.6MB / 49.8MB","55.1MB / 768MB","8788512"
"2026-09-21T15:35:58.3537624+00:00","2026-09-21T15:36:00.9780719+00:00","23","r-scylla3","4","6.50%","163.2MiB / 9.711GiB","15MB / 49.4MB","38.8MB / 767MB","8788512"
"2026-09-21T15:35:58.3537624+00:00","2026-09-21T15:36:00.9780719+00:00","23","r-scylla4","4","121.54%","106.6MiB / 9.711GiB","590kB / 1.62MB","426kB / 472MB","8788512"
"2026-09-21T15:36:01.9840824+00:00","2026-09-21T15:36:04.3983710+00:00","24","r-scylla1","4","65.84%","204.3MiB / 9.711GiB","13.4MB / 60.8MB","108MB / 797MB","8761088"
"2026-09-21T15:36:01.9840824+00:00","2026-09-21T15:36:04.3983710+00:00","24","r-scylla2","4","57.93%","174.2MiB / 9.711GiB","15.2MB / 51.8MB","60.5MB / 776MB","8761088"
"2026-09-21T15:36:01.9840824+00:00","2026-09-21T15:36:04.3983710+00:00","24","r-scylla3","4","62.69%","168.5MiB / 9.711GiB","15.6MB / 52.4MB","48.8MB / 781MB","8761088"
"2026-09-21T15:36:01.9840824+00:00","2026-09-21T15:36:04.3983710+00:00","24","r-scylla4","4","56.37%","123MiB / 9.711GiB","6.06MB / 3.49MB","8.44MB / 557MB","8761088"
"2026-09-21T15:36:05.4107867+00:00","2026-09-21T15:36:07.9136874+00:00","25","r-scylla1","4","65.54%","204.3MiB / 9.711GiB","13.8MB / 63.2MB","109MB / 803MB","8760268"
"2026-09-21T15:36:05.4107867+00:00","2026-09-21T15:36:07.9136874+00:00","25","r-scylla2","4","45.30%","175.8MiB / 9.711GiB","15.9MB / 54.8MB","66.6MB / 789MB","8760268"
"2026-09-21T15:36:05.4107867+00:00","2026-09-21T15:36:07.9136874+00:00","25","r-scylla3","4","47.67%","168.6MiB / 9.711GiB","16.2MB / 54.3MB","50.2MB / 789MB","8760268"
"2026-09-21T15:36:05.4107867+00:00","2026-09-21T15:36:07.9136874+00:00","25","r-scylla4","4","77.50%","125.5MiB / 9.711GiB","7.89MB / 4.27MB","13MB / 568MB","8760268"
"2026-09-21T15:36:08.9275557+00:00","2026-09-21T15:36:11.5419205+00:00","26","r-scylla1","4","26.86%","204.6MiB / 9.711GiB","14MB / 66.9MB","111MB / 809MB","8755488"
"2026-09-21T15:36:08.9275557+00:00","2026-09-21T15:36:11.5419205+00:00","26","r-scylla2","4","28.79%","176.7MiB / 9.711GiB","16.1MB / 56.6MB","67.8MB / 793MB","8755488"
"2026-09-21T15:36:08.9275557+00:00","2026-09-21T15:36:11.5419205+00:00","26","r-scylla3","4","30.01%","169.2MiB / 9.711GiB","16.5MB / 56.1MB","51.5MB / 793MB","8755488"
"2026-09-21T15:36:08.9275557+00:00","2026-09-21T15:36:11.5419205+00:00","26","r-scylla4","4","52.42%","127.4MiB / 9.711GiB","9.68MB / 5.67MB","17.6MB / 579MB","8755488"
"2026-09-21T15:36:12.5467597+00:00","2026-09-21T15:36:15.0428697+00:00","27","r-scylla1","4","5.01%","204.3MiB / 9.711GiB","14.1MB / 68.2MB","111MB / 809MB","8756732"
"2026-09-21T15:36:12.5467597+00:00","2026-09-21T15:36:15.0428697+00:00","27","r-scylla2","4","5.04%","176.7MiB / 9.711GiB","16.2MB / 57.4MB","67.8MB / 793MB","8756732"
"2026-09-21T15:36:12.5467597+00:00","2026-09-21T15:36:15.0428697+00:00","27","r-scylla3","4","4.80%","169.2MiB / 9.711GiB","16.5MB / 57.3MB","51.5MB / 793MB","8756732"
"2026-09-21T15:36:12.5467597+00:00","2026-09-21T15:36:15.0428697+00:00","27","r-scylla4","4","5.11%","127.2MiB / 9.711GiB","9.8MB / 7MB","18.8MB / 581MB","8756732"
"2026-09-21T15:36:16.0500835+00:00","2026-09-21T15:36:18.6678207+00:00","28","r-scylla1","4","5.28%","204.4MiB / 9.711GiB","14.1MB / 69.4MB","111MB / 809MB","8759272"
"2026-09-21T15:36:16.0500835+00:00","2026-09-21T15:36:18.6678207+00:00","28","r-scylla2","4","4.91%","176.7MiB / 9.711GiB","16.2MB / 59MB","67.8MB / 793MB","8759272"
"2026-09-21T15:36:16.0500835+00:00","2026-09-21T15:36:18.6678207+00:00","28","r-scylla3","4","4.89%","169.2MiB / 9.711GiB","16.6MB / 58.9MB","51.5MB / 793MB","8759272"
"2026-09-21T15:36:16.0500835+00:00","2026-09-21T15:36:18.6678207+00:00","28","r-scylla4","4","5.21%","126.9MiB / 9.711GiB","9.85MB / 8.31MB","18.8MB / 581MB","8759272"
"2026-09-21T15:36:19.6759265+00:00","2026-09-21T15:36:22.2176989+00:00","29","r-scylla1","4","5.48%","204.6MiB / 9.711GiB","14.2MB / 71.1MB","111MB / 809MB","8762004"
"2026-09-21T15:36:19.6759265+00:00","2026-09-21T15:36:22.2176989+00:00","29","r-scylla2","4","5.99%","176.7MiB / 9.711GiB","16.3MB / 60.6MB","67.8MB / 793MB","8762004"
"2026-09-21T15:36:19.6759265+00:00","2026-09-21T15:36:22.2176989+00:00","29","r-scylla3","4","5.73%","169.2MiB / 9.711GiB","16.7MB / 60.1MB","51.5MB / 793MB","8762004"
"2026-09-21T15:36:19.6759265+00:00","2026-09-21T15:36:22.2176989+00:00","29","r-scylla4","4","4.87%","126.9MiB / 9.711GiB","9.91MB / 8.98MB","18.8MB / 581MB","8762004"
"2026-09-21T15:36:23.2202371+00:00","2026-09-21T15:36:25.7604540+00:00","30","r-scylla1","4","5.31%","204.4MiB / 9.711GiB","14.2MB / 72.8MB","111MB / 809MB","8760288"
"2026-09-21T15:36:23.2202371+00:00","2026-09-21T15:36:25.7604540+00:00","30","r-scylla2","4","4.85%","176.7MiB / 9.711GiB","16.3MB / 62.2MB","67.8MB / 793MB","8760288"
"2026-09-21T15:36:23.2202371+00:00","2026-09-21T15:36:25.7604540+00:00","30","r-scylla3","4","5.61%","169.2MiB / 9.711GiB","16.7MB / 61.7MB","51.5MB / 793MB","8760288"
