sample,start_utc,end_utc,phase,event_relative_s,address,token_rows,up_normal_rows,owns_values,ownership_sha256,source_file
5035,2026-09-22T15:56:03.1030843+00:00,2026-09-22T15:56:03.5783114+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005035.txt
5036,2026-09-22T15:56:05.1810339+00:00,2026-09-22T15:56:05.7672799+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005036.txt
5036,2026-09-22T15:56:05.1810339+00:00,2026-09-22T15:56:05.7672799+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005036.txt
5036,2026-09-22T15:56:05.1810339+00:00,2026-09-22T15:56:05.7672799+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005036.txt
5037,2026-09-22T15:56:07.2716593+00:00,2026-09-22T15:56:07.8142045+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005037.txt
5037,2026-09-22T15:56:07.2716593+00:00,2026-09-22T15:56:07.8142045+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005037.txt
5037,2026-09-22T15:56:07.2716593+00:00,2026-09-22T15:56:07.8142045+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005037.txt
5038,2026-09-22T15:56:09.3491162+00:00,2026-09-22T15:56:09.8431912+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005038.txt
5038,2026-09-22T15:56:09.3491162+00:00,2026-09-22T15:56:09.8431912+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005038.txt
5038,2026-09-22T15:56:09.3491162+00:00,2026-09-22T15:56:09.8431912+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005038.txt
5039,2026-09-22T15:56:11.4296549+00:00,2026-09-22T15:56:11.8811511+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005039.txt
5039,2026-09-22T15:56:11.4296549+00:00,2026-09-22T15:56:11.8811511+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005039.txt
5039,2026-09-22T15:56:11.4296549+00:00,2026-09-22T15:56:11.8811511+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005039.txt
5040,2026-09-22T15:56:13.5110980+00:00,2026-09-22T15:56:14.0488616+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005040.txt
5040,2026-09-22T15:56:13.5110980+00:00,2026-09-22T15:56:14.0488616+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005040.txt
5040,2026-09-22T15:56:13.5110980+00:00,2026-09-22T15:56:14.0488616+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005040.txt
5041,2026-09-22T15:56:15.5860033+00:00,2026-09-22T15:56:16.0148590+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005041.txt
5041,2026-09-22T15:56:15.5860033+00:00,2026-09-22T15:56:16.0148590+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005041.txt
5041,2026-09-22T15:56:15.5860033+00:00,2026-09-22T15:56:16.0148590+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005041.txt
5042,2026-09-22T15:56:17.6577731+00:00,2026-09-22T15:56:18.1159970+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005042.txt
5042,2026-09-22T15:56:17.6577731+00:00,2026-09-22T15:56:18.1159970+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005042.txt
5042,2026-09-22T15:56:17.6577731+00:00,2026-09-22T15:56:18.1159970+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005042.txt
5043,2026-09-22T15:56:19.7321725+00:00,2026-09-22T15:56:20.2494404+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005043.txt
5043,2026-09-22T15:56:19.7321725+00:00,2026-09-22T15:56:20.2494404+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005043.txt
5043,2026-09-22T15:56:19.7321725+00:00,2026-09-22T15:56:20.2494404+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005043.txt
5044,2026-09-22T15:56:21.8203438+00:00,2026-09-22T15:56:22.3598024+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005044.txt
5044,2026-09-22T15:56:21.8203438+00:00,2026-09-22T15:56:22.3598024+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005044.txt
5044,2026-09-22T15:56:21.8203438+00:00,2026-09-22T15:56:22.3598024+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005044.txt
5045,2026-09-22T15:56:23.8831591+00:00,2026-09-22T15:56:24.4793561+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005045.txt
5045,2026-09-22T15:56:23.8831591+00:00,2026-09-22T15:56:24.4793561+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005045.txt
5045,2026-09-22T15:56:23.8831591+00:00,2026-09-22T15:56:24.4793561+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005045.txt
5046,2026-09-22T15:56:25.9413156+00:00,2026-09-22T15:56:26.4622949+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005046.txt
