treatment,phase,event,timestamp_utc,event_relative_s,sample,node,node_count,direction,shards,counter_bytes,increment_bytes,counter_reset
tablets,baseline,,2026-09-21T17:19:11.368430+00:00,,863,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:11.368430+00:00,,863,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:11.368430+00:00,,863,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:12.368615+00:00,,864,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:12.368615+00:00,,864,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:12.368615+00:00,,864,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:12.368615+00:00,,864,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:12.368615+00:00,,864,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:12.368615+00:00,,864,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:13.368917+00:00,,865,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:13.368917+00:00,,865,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:13.368917+00:00,,865,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:13.368917+00:00,,865,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:13.368917+00:00,,865,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:13.368917+00:00,,865,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:14.369219+00:00,,866,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:14.369219+00:00,,866,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:14.369219+00:00,,866,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:14.369219+00:00,,866,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:14.369219+00:00,,866,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:14.369219+00:00,,866,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:15.369496+00:00,,867,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:15.369496+00:00,,867,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:15.369496+00:00,,867,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:15.369496+00:00,,867,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:15.369496+00:00,,867,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:15.369496+00:00,,867,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:16.369618+00:00,,868,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:16.369618+00:00,,868,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:16.369618+00:00,,868,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:16.369618+00:00,,868,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:16.369618+00:00,,868,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:16.369618+00:00,,868,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:17.369831+00:00,,869,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:17.369831+00:00,,869,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:17.369831+00:00,,869,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:17.369831+00:00,,869,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:17.369831+00:00,,869,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:17.369831+00:00,,869,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:18.370018+00:00,,870,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:18.370018+00:00,,870,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:18.370018+00:00,,870,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:18.370018+00:00,,870,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:18.370018+00:00,,870,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:18.370018+00:00,,870,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:19.370179+00:00,,871,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:19.370179+00:00,,871,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:19.370179+00:00,,871,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:19.370179+00:00,,871,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:19.370179+00:00,,871,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:19.370179+00:00,,871,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:20.368494+00:00,,872,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:20.368494+00:00,,872,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:20.368494+00:00,,872,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:20.368494+00:00,,872,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:20.368494+00:00,,872,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:20.368494+00:00,,872,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:21.368665+00:00,,873,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:21.368665+00:00,,873,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:21.368665+00:00,,873,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:21.368665+00:00,,873,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:21.368665+00:00,,873,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:21.368665+00:00,,873,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:22.368820+00:00,,874,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:22.368820+00:00,,874,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:22.368820+00:00,,874,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:22.368820+00:00,,874,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:22.368820+00:00,,874,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:22.368820+00:00,,874,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:23.369023+00:00,,875,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:23.369023+00:00,,875,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:23.369023+00:00,,875,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:23.369023+00:00,,875,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:23.369023+00:00,,875,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:23.369023+00:00,,875,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:24.369381+00:00,,876,r-scylla1,3,incoming,2,0,0,False
