timestamp,phase,event_relative_s,tablet_rows,pending_replica_rows,active_transition_rows,placement_sha256,changed_from_previous
2026-09-21T17:03:35.487496+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:36.548253+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:37.624419+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:38.703337+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:39.800315+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:40.890633+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:41.953781+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:43.040035+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:44.101108+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:45.186211+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:46.259022+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:47.310700+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:48.387913+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:49.507791+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:50.592224+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:51.672680+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:52.774191+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:53.849831+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:54.918373+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:55.998178+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:57.056766+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:58.137007+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:59.207172+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:00.274726+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:01.361678+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:02.434685+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:03.504818+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:04.567315+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:05.631684+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:06.704770+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:07.756080+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:08.821669+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:09.870452+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:10.945731+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:12.007959+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:13.075009+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:14.136017+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:15.243618+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:16.332101+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:17.387054+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:04:18.457524+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
