"timestamp_utc","sample","node","cpu_percent","memory_usage","network_io","block_io"
"2026-09-17T20:24:49.3378932+00:00","23","r-scylla3","5.21%","547.6MiB / 9.711GiB","155MB / 119MB","305MB / 1.08GB"
"2026-09-17T20:24:52.6125724+00:00","24","r-scylla1","5.34%","561.5MiB / 9.711GiB","154MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:24:52.6125724+00:00","24","r-scylla2","8.87%","546.5MiB / 9.711GiB","154MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:24:52.6125724+00:00","24","r-scylla3","5.15%","547.6MiB / 9.711GiB","155MB / 119MB","305MB / 1.08GB"
"2026-09-17T20:24:55.8581737+00:00","25","r-scylla1","5.53%","561.2MiB / 9.711GiB","155MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:24:55.8581737+00:00","25","r-scylla2","5.25%","546.5MiB / 9.711GiB","154MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:24:55.8581737+00:00","25","r-scylla3","5.43%","547.6MiB / 9.711GiB","155MB / 119MB","305MB / 1.08GB"
"2026-09-17T20:24:59.0900454+00:00","26","r-scylla1","4.88%","561.5MiB / 9.711GiB","155MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:24:59.0900454+00:00","26","r-scylla2","5.33%","546.5MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:24:59.0900454+00:00","26","r-scylla3","9.99%","547.9MiB / 9.711GiB","155MB / 119MB","305MB / 1.08GB"
"2026-09-17T20:25:02.3472734+00:00","27","r-scylla1","3.57%","561.5MiB / 9.711GiB","155MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:25:02.3472734+00:00","27","r-scylla2","3.68%","546.5MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:02.3472734+00:00","27","r-scylla3","4.43%","547.9MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:05.5698334+00:00","28","r-scylla1","2.82%","561.7MiB / 9.711GiB","155MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:25:05.5698334+00:00","28","r-scylla2","2.98%","547MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:05.5698334+00:00","28","r-scylla3","3.31%","547.9MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:08.7757845+00:00","29","r-scylla1","2.87%","561.2MiB / 9.711GiB","155MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:25:08.7757845+00:00","29","r-scylla2","3.11%","546.7MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:08.7757845+00:00","29","r-scylla3","3.09%","547.9MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:12.0367082+00:00","30","r-scylla1","2.96%","561.5MiB / 9.711GiB","155MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:25:12.0367082+00:00","30","r-scylla2","3.18%","546.7MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:12.0367082+00:00","30","r-scylla3","2.98%","547.9MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:15.0798109+00:00","31","r-scylla1","3.51%","561.5MiB / 9.711GiB","155MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:25:15.0798109+00:00","31","r-scylla2","3.53%","546.5MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:15.0798109+00:00","31","r-scylla3","3.40%","547.9MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:18.2824244+00:00","32","r-scylla1","3.18%","561.5MiB / 9.711GiB","155MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:25:18.2824244+00:00","32","r-scylla2","2.54%","546.5MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:18.2824244+00:00","32","r-scylla3","2.97%","547.9MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:21.4974935+00:00","33","r-scylla1","4.11%","561.5MiB / 9.711GiB","155MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:25:21.4974935+00:00","33","r-scylla2","4.54%","546.5MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:21.4974935+00:00","33","r-scylla3","4.33%","547.9MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:24.5527160+00:00","34","r-scylla1","3.84%","561.2MiB / 9.711GiB","155MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:25:24.5527160+00:00","34","r-scylla2","5.47%","546.7MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:24.5527160+00:00","34","r-scylla3","5.46%","547.9MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:27.8278615+00:00","35","r-scylla1","4.64%","561.2MiB / 9.711GiB","155MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:25:27.8278615+00:00","35","r-scylla2","3.86%","547.2MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
