"timestamp_utc","sample_end_utc","sample","node","node_count","cpu_percent","memory_usage","network_io","block_io","vm_mem_available_kib"
"2026-09-21T11:50:32.6608546+00:00","2026-09-21T11:50:34.9779443+00:00","9","r-scylla2","4","4.92%","138.1MiB / 9.711GiB","13MB / 31.5MB","16.2MB / 625MB","8773956"
"2026-09-21T11:50:32.6608546+00:00","2026-09-21T11:50:34.9779443+00:00","9","r-scylla3","4","3.56%","137.8MiB / 9.711GiB","14.4MB / 31.3MB","17.1MB / 626MB","8773956"
"2026-09-21T11:50:32.6608546+00:00","2026-09-21T11:50:34.9779443+00:00","9","r-scylla4","4","4.05%","140.3MiB / 9.711GiB","13.1MB / 31.5MB","18MB / 624MB","8773956"
"2026-09-21T11:50:35.9956290+00:00","2026-09-21T11:50:38.0856410+00:00","10","r-scylla1","4","3.69%","155.9MiB / 9.711GiB","13.2MB / 34.7MB","42.9MB / 625MB","8775152"
"2026-09-21T11:50:35.9956290+00:00","2026-09-21T11:50:38.0856410+00:00","10","r-scylla2","4","3.56%","138.3MiB / 9.711GiB","13MB / 32.6MB","16.2MB / 625MB","8775152"
"2026-09-21T11:50:35.9956290+00:00","2026-09-21T11:50:38.0856410+00:00","10","r-scylla3","4","3.49%","137.6MiB / 9.711GiB","14.5MB / 32.5MB","17.1MB / 626MB","8775152"
"2026-09-21T11:50:35.9956290+00:00","2026-09-21T11:50:38.0856410+00:00","10","r-scylla4","4","3.49%","140.3MiB / 9.711GiB","13.1MB / 32.7MB","18MB / 624MB","8775152"
"2026-09-21T11:50:39.0984979+00:00","2026-09-21T11:50:41.3912453+00:00","11","r-scylla1","4","3.76%","156.2MiB / 9.711GiB","13.2MB / 35.9MB","42.9MB / 625MB","8773100"
"2026-09-21T11:50:39.0984979+00:00","2026-09-21T11:50:41.3912453+00:00","11","r-scylla2","4","3.45%","138.1MiB / 9.711GiB","13MB / 33.8MB","16.2MB / 625MB","8773100"
"2026-09-21T11:50:39.0984979+00:00","2026-09-21T11:50:41.3912453+00:00","11","r-scylla3","4","3.69%","137.6MiB / 9.711GiB","14.5MB / 33.6MB","17.1MB / 626MB","8773100"
"2026-09-21T11:50:39.0984979+00:00","2026-09-21T11:50:41.3912453+00:00","11","r-scylla4","4","2.30%","140.3MiB / 9.711GiB","13.2MB / 33.4MB","18MB / 624MB","8773100"
"2026-09-21T11:50:42.4179772+00:00","2026-09-21T11:50:44.6925990+00:00","12","r-scylla1","4","4.02%","155.9MiB / 9.711GiB","13.3MB / 37.1MB","42.9MB / 625MB","8773308"
"2026-09-21T11:50:42.4179772+00:00","2026-09-21T11:50:44.6925990+00:00","12","r-scylla2","4","4.08%","138.1MiB / 9.711GiB","13.1MB / 35MB","16.2MB / 625MB","8773308"
"2026-09-21T11:50:42.4179772+00:00","2026-09-21T11:50:44.6925990+00:00","12","r-scylla3","4","3.58%","137.6MiB / 9.711GiB","14.6MB / 34.8MB","17.1MB / 626MB","8773308"
"2026-09-21T11:50:42.4179772+00:00","2026-09-21T11:50:44.6925990+00:00","12","r-scylla4","4","4.59%","140.5MiB / 9.711GiB","13.2MB / 34.6MB","18MB / 624MB","8773308"
"2026-09-21T11:50:45.7038910+00:00","2026-09-21T11:50:47.7653728+00:00","13","r-scylla1","4","4.44%","156.4MiB / 9.711GiB","13.3MB / 38.3MB","42.9MB / 625MB","8773220"
"2026-09-21T11:50:45.7038910+00:00","2026-09-21T11:50:47.7653728+00:00","13","r-scylla2","4","4.27%","138.3MiB / 9.711GiB","13.1MB / 36.1MB","16.2MB / 625MB","8773220"
"2026-09-21T11:50:45.7038910+00:00","2026-09-21T11:50:47.7653728+00:00","13","r-scylla3","4","4.54%","137.8MiB / 9.711GiB","14.6MB / 36MB","17.1MB / 626MB","8773220"
"2026-09-21T11:50:45.7038910+00:00","2026-09-21T11:50:47.7653728+00:00","13","r-scylla4","4","4.46%","140.3MiB / 9.711GiB","13.3MB / 36.2MB","18MB / 624MB","8773220"
"2026-09-21T11:50:48.7807643+00:00","2026-09-21T11:50:51.2133443+00:00","14","r-scylla1","4","3.75%","156.4MiB / 9.711GiB","13.3MB / 39.9MB","42.9MB / 625MB","8773272"
"2026-09-21T11:50:48.7807643+00:00","2026-09-21T11:50:51.2133443+00:00","14","r-scylla2","4","3.70%","138.4MiB / 9.711GiB","13.1MB / 37.7MB","16.2MB / 625MB","8773272"
"2026-09-21T11:50:48.7807643+00:00","2026-09-21T11:50:51.2133443+00:00","14","r-scylla3","4","3.75%","137.8MiB / 9.711GiB","14.7MB / 37.5MB","17.1MB / 626MB","8773272"
"2026-09-21T11:50:48.7807643+00:00","2026-09-21T11:50:51.2133443+00:00","14","r-scylla4","4","2.43%","140.3MiB / 9.711GiB","13.3MB / 37.3MB","18MB / 624MB","8773272"
"2026-09-21T11:50:52.2483711+00:00","2026-09-21T11:50:54.6088692+00:00","15","r-scylla1","4","4.31%","156.2MiB / 9.711GiB","13.4MB / 41.1MB","42.9MB / 625MB","8774336"
"2026-09-21T11:50:52.2483711+00:00","2026-09-21T11:50:54.6088692+00:00","15","r-scylla2","4","4.48%","138.1MiB / 9.711GiB","13.2MB / 38.8MB","16.2MB / 625MB","8774336"
"2026-09-21T11:50:52.2483711+00:00","2026-09-21T11:50:54.6088692+00:00","15","r-scylla3","4","2.07%","138.1MiB / 9.711GiB","14.7MB / 38.3MB","17.1MB / 626MB","8774336"
"2026-09-21T11:50:52.2483711+00:00","2026-09-21T11:50:54.6088692+00:00","15","r-scylla4","4","4.59%","140.3MiB / 9.711GiB","13.3MB / 38.9MB","18MB / 624MB","8774336"
"2026-09-21T11:50:55.6175160+00:00","2026-09-21T11:50:57.6087358+00:00","16","r-scylla1","4","2.23%","156.4MiB / 9.711GiB","13.4MB / 42.3MB","42.9MB / 625MB","8770148"
"2026-09-21T11:50:55.6175160+00:00","2026-09-21T11:50:57.6087358+00:00","16","r-scylla2","4","2.22%","138.3MiB / 9.711GiB","13.2MB / 40MB","16.2MB / 625MB","8770148"
"2026-09-21T11:50:55.6175160+00:00","2026-09-21T11:50:57.6087358+00:00","16","r-scylla3","4","2.07%","138.1MiB / 9.711GiB","14.8MB / 39.8MB","17.1MB / 626MB","8770148"
"2026-09-21T11:50:55.6175160+00:00","2026-09-21T11:50:57.6087358+00:00","16","r-scylla4","4","2.22%","140.3MiB / 9.711GiB","13.4MB / 40MB","18MB / 624MB","8770148"
"2026-09-21T11:50:58.6193751+00:00","2026-09-21T11:51:01.0001756+00:00","17","r-scylla1","4","2.39%","156MiB / 9.711GiB","13.4MB / 43.5MB","42.9MB / 625MB","8768612"
"2026-09-21T11:50:58.6193751+00:00","2026-09-21T11:51:01.0001756+00:00","17","r-scylla2","4","3.96%","138.3MiB / 9.711GiB","13.3MB / 41.5MB","16.2MB / 625MB","8768612"
"2026-09-21T11:50:58.6193751+00:00","2026-09-21T11:51:01.0001756+00:00","17","r-scylla3","4","4.18%","137.8MiB / 9.711GiB","14.9MB / 41.3MB","17.1MB / 626MB","8768612"
"2026-09-21T11:50:58.6193751+00:00","2026-09-21T11:51:01.0001756+00:00","17","r-scylla4","4","4.22%","140.3MiB / 9.711GiB","13.4MB / 41.5MB","18MB / 624MB","8768612"
"2026-09-21T11:51:02.0093690+00:00","2026-09-21T11:51:04.2787884+00:00","18","r-scylla1","4","4.73%","155.9MiB / 9.711GiB","13.5MB / 44.7MB","42.9MB / 625MB","8770416"
"2026-09-21T11:51:02.0093690+00:00","2026-09-21T11:51:04.2787884+00:00","18","r-scylla2","4","3.05%","138.4MiB / 9.711GiB","13.3MB / 42.7MB","16.2MB / 625MB","8770416"
"2026-09-21T11:51:02.0093690+00:00","2026-09-21T11:51:04.2787884+00:00","18","r-scylla3","4","2.61%","138.1MiB / 9.711GiB","14.9MB / 42.5MB","17.1MB / 626MB","8770416"
"2026-09-21T11:51:02.0093690+00:00","2026-09-21T11:51:04.2787884+00:00","18","r-scylla4","4","3.02%","140.3MiB / 9.711GiB","13.4MB / 42.7MB","18MB / 624MB","8770416"
